Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
2014-01-02,30.678442001342773,30.877821140605956,30.626432064827238,30.877821140605956,8552500
2014-01-03,30.531076431274414,30.75646054120077,30.51373868330511,30.75646054120077,5204800
2014-01-06,30.479055404663086,30.59174908426904,30.366361725057132,30.496393148205268,4524700
2014-01-07,30.756458282470703,30.799800995792257,30.5570791557219,30.61775961573949,7161800
2014-01-08,30.756458282470703,30.860481455809847,30.652435109131556,30.773796029166736,4696400
2014-01-09,30.557086944580078,30.886497602095837,30.479068717979974,30.886497602095837,6341900
2014-01-10,30.61775779724121,30.70444321873576,30.461721393081522,30.643762762322204,12960100
2014-01-13,30.28835105895996,30.7391225825606,30.19299840603824,30.59175668608744,6445300
2014-01-14,30.799795150756836,30.817132894162597,30.375032011243192,30.409707498054715,6419400
2014-01-15,31.172544479370117,31.2505626615482,30.92982271563209,30.97316541532302,9674000
2014-01-16,31.16388511657715,31.21589504658022,31.094534134123922,31.189890081578685,6931300
2014-01-17,30.990507125854492,31.17254847197401,30.92115615199766,31.111868023267505,6338700
2014-01-21,31.14654541015625,31.233230825928718,30.88648585600221,31.233230825928718,6294200
2014-01-22,31.11187171936035,31.163884955932154,31.03385351792107,31.11187171936035,4215900
2014-01-23,31.051193237304688,31.051193237304688,30.843146891466084,30.97317503090595,6418000
2014-01-24,30.453046798706055,30.97316581538738,30.444376274554266,30.92115259098482,15496700
2014-01-27,30.166982650756836,30.513730908113537,30.019616790823935,30.496393164562054,8014000
2014-01-28,29.984941482543945,30.03695471350858,29.811567352831634,29.898256071106026,13145500
2014-01-29,29.75088119506836,29.92425529151487,29.638187536352753,29.733543454740126,11219400
2014-01-30,30.114978790283203,30.219001965699636,29.950271846800298,30.10630826334351,8329900
2014-01-31,30.18433380126953,30.33170303349581,29.86359367019529,29.87226089240252,10943500
2014-02-03,29.551513671875,30.227669274317485,29.438819969188874,30.11497887846849,15975800
2014-02-04,29.664196014404297,29.742214193026637,29.516826873968384,29.603515576235353,5725700
2014-02-05,29.69020652770996,29.77689193936284,29.40413871694978,29.60352111605708,9203100
2014-02-06,30.019622802734375,30.028290022827633,29.71621719007631,29.71621719007631,9139700
2014-02-07,30.427051544189453,30.4357220720489,30.080306487073425,30.21033464342788,10464800
2014-02-10,30.487720489501953,30.53973371648864,30.34902185770701,30.42704004476893,6758700
2014-02-11,30.860475540161133,30.947164257023932,30.58307825987303,30.61775374661815,7041400
